row_id,category,product_type,mounting,sku,is_pricing_rule,price,currency,dimensions_raw,length_mm,width_mm,height_mm,diameter_mm,depth_mm,dims_source,power_w,power_w_per_m,power_w_options,power_w_per_m_options,lumen,ip_rating,cct_k,cct_k_min,cct_k_max,cct_placeholder,voltage_min_v,voltage_max_v,voltage_type,frequency_min_hz,frequency_max_hz,constant_voltage_v,beam_deg,beam_source,dimming,note,search_text,sku_occurrence,sku_key,missing_fields,has_missing_fields
3,LED DOWN LIGHT T1,downlight,,NSL-DLT1-2.5-5W-XXK-SMD-NS-IP20,False,57.0,,W90 H45 Ø75,,90.0,45.0,75.0,,dimensions_raw,5.0,,,,550.0,IP20,,,,XXK,,,,,,,,,,درايفر نسلي,LED DOWN LIGHT T1 | NSL-DLT1-2.5-5W-XXK-SMD-NS-IP20 | W90 H45 Ø75 | 5 | 550 | 57.0 | درايفر نسلي | IP20,1,NSL-DLT1-2.5-5W-XXK-SMD-NS-IP20,voltage,True
4,LED DOWN LIGHT T1,downlight,,NSL-DLT1-2.5-5W-XXK-SMD-TD-AT-IP20,False,103.0,,,,,,,,,5.0,,,,,IP20,,,,XXK,,,,,,,,,,,LED DOWN LIGHT T1 | NSL-DLT1-2.5-5W-XXK-SMD-TD-AT-IP20 | 103.0 | IP20,1,NSL-DLT1-2.5-5W-XXK-SMD-TD-AT-IP20,dimensions;lumen;voltage,True
5,LED DOWN LIGHT T1,downlight,,NSL-DLT1-2.5-5W-XXK-SMD-TD-AT-Dali-IP20,False,164.0,,,,,,,,,5.0,,,,,IP20,,,,XXK,,,,,,,,,DALI,,LED DOWN LIGHT T1 | NSL-DLT1-2.5-5W-XXK-SMD-TD-AT-Dali-IP20 | 164.0 | IP20 | DALI,1,NSL-DLT1-2.5-5W-XXK-SMD-TD-AT-Dali-IP20,dimensions;lumen;voltage,True
6,LED DOWN LIGHT T1,downlight,,NSL-DLT1-2.5-5W-XXK-SMD-TD-AT-IP44,False,112.0,,,,,,,,,5.0,,,,,IP44,,,,XXK,,,,,,,,,,,LED DOWN LIGHT T1 | NSL-DLT1-2.5-5W-XXK-SMD-TD-AT-IP44 | 112.0 | IP44,1,NSL-DLT1-2.5-5W-XXK-SMD-TD-AT-IP44,dimensions;lumen;voltage,True
7,LED DOWN LIGHT T1,downlight,,NSL-DLT1-2.5-5W-XXK-SMD-TD-AT-Dali-IP44,False,172.0,,,,,,,,,5.0,,,,,IP44,,,,XXK,,,,,,,,,DALI,,LED DOWN LIGHT T1 | NSL-DLT1-2.5-5W-XXK-SMD-TD-AT-Dali-IP44 | 172.0 | IP44 | DALI,1,NSL-DLT1-2.5-5W-XXK-SMD-TD-AT-Dali-IP44,dimensions;lumen;voltage,True
8,LED DOWN LIGHT T1,downlight,,NSL-DLT1-2.5-5W-XXK-SMD-NS-IP44,False,77.0,,W90 H45 Ø75,,90.0,45.0,75.0,,dimensions_raw,5.0,,,,550.0,IP44,,,,XXK,,,,,,,,,,درايفر نسلي,LED DOWN LIGHT T1 | NSL-DLT1-2.5-5W-XXK-SMD-NS-IP44 | W90 H45 Ø75 | 5 | 550 | 77.0 | درايفر نسلي | IP44,1,NSL-DLT1-2.5-5W-XXK-SMD-NS-IP44,voltage,True
9,LED DOWN LIGHT T1,downlight,,CUSTOM SINGLE FRAME,False,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED DOWN LIGHT T1 | CUSTOM SINGLE FRAME | 20.0,1,CUSTOM SINGLE FRAME__1,dimensions;power;lumen;ip_rating;cct;voltage,True
10,LED DOWN LIGHT T1,downlight,,CUSTOM DOUBLE FRAME,False,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED DOWN LIGHT T1 | CUSTOM DOUBLE FRAME | 30.0,1,CUSTOM DOUBLE FRAME__1,dimensions;power;lumen;ip_rating;cct;voltage,True
13,LED DOWN LIGHT T1,downlight,,NSL-DLT1-2.5-7W-XXK-SMD-NS-IP20,False,57.0,,W90 H45 Ø75,,90.0,45.0,75.0,,dimensions_raw,7.0,,,,770.0,IP20,,,,XXK,,,,,,,,,,درايفر نسلي 12 واط,LED DOWN LIGHT T1 | NSL-DLT1-2.5-7W-XXK-SMD-NS-IP20 | W90 H45 Ø75 | 7 | 770 | 57.0 | درايفر نسلي 12 واط | IP20,1,NSL-DLT1-2.5-7W-XXK-SMD-NS-IP20,voltage,True
14,LED DOWN LIGHT T1,downlight,,NSL-DLT1-2.5-7W-XXK-SMD-NS-PHC-IP20,False,92.0,,W90 H45 Ø75,,90.0,45.0,75.0,,dimensions_raw,7.0,,,,770.0,IP20,,,,XXK,,,,,,,,,PHC,,LED DOWN LIGHT T1 | NSL-DLT1-2.5-7W-XXK-SMD-NS-PHC-IP20 | W90 H45 Ø75 | 7 | 770 | 92.0 | IP20 | PHC,1,NSL-DLT1-2.5-7W-XXK-SMD-NS-PHC-IP20,voltage,True
15,LED DOWN LIGHT T1,downlight,,NSL-DLT1-2.5-7W-XXK-SMD-NS-IP44,False,77.0,,W90 H45 Ø75,,90.0,45.0,75.0,,dimensions_raw,7.0,,,,770.0,IP44,,,,XXK,,,,,,,,,,درايفر نسلي 12 واط,LED DOWN LIGHT T1 | NSL-DLT1-2.5-7W-XXK-SMD-NS-IP44 | W90 H45 Ø75 | 7 | 770 | 77.0 | درايفر نسلي 12 واط | IP44,1,NSL-DLT1-2.5-7W-XXK-SMD-NS-IP44,voltage,True
